code|text
1003614009|Open angle glaucoma suspect (disorder)
1003615005|Open angle glaucoma suspect of left eye (disorder)
1003616006|Open angle glaucoma suspect of right eye (disorder)
1003617002|Open angle glaucoma suspect of bilateral eyes (disorder)
1003620005|Congenital clinodactyly of finger (disorder)
1003621009|Congenital clinodactyly of little finger (disorder)
1003641004|Human leukocyte antigen DQB1*02:02 detected (finding)
1003644007|Agenesis of bilateral feet (disorder)
1003650002|Osteolysis of proximal phalanx of foot (disorder)
1003651003|Osteolysis of distal phalanx of foot (disorder)
1003652005|Osteolysis of distal phalanx of second toe (disorder)
1003653000|Osteolysis of distal phalanx of third toe (disorder)
1003654006|Osteolysis of distal phalanx of fourth toe (disorder)
1003655007|Osteolysis of distal phalanx of little toe (disorder)
1003656008|Osteolysis of distal phalanx of great toe (disorder)
1003657004|Congenital glaucoma of left eye (disorder)
1003658009|Osteolysis of middle phalanx of foot (disorder)
1003659001|Osteolysis of middle phalanx of second toe (disorder)
1003660006|Osteolysis of middle phalanx of third toe (disorder)
1003661005|Osteolysis of middle phalanx of fourth toe (disorder)
1003662003|Osteolysis of middle phalanx of little toe (disorder)
1003663008|Osteolysis of phalanx of second toe (disorder)
1003664002|Osteolysis of phalanx of third toe (disorder)
1003665001|Osteolysis of phalanx of fourth toe (disorder)
1003666000|Osteolysis of phalanx of little toe (disorder)
1003667009|Osteolysis of phalanx of foot (disorder)
1003668004|Osteolysis of proximal phalanx of second toe (disorder)
1003669007|Osteolysis of proximal phalanx of third toe (disorder)
1003670008|Osteolysis of proximal phalanx of fourth toe (disorder)
1003671007|Osteolysis of proximal phalanx of little toe (disorder)
1003672000|Osteolysis of proximal phalanx of great toe (disorder)
1003673005|Osteolysis of metatarsal bone (disorder)
1003675003|Osteolysis of tarsus bone (disorder)
1003678001|Heart disease due to thyrotoxicosis (disorder)
1003679009|Human immunodeficiency virus Centers for Disease Control and Prevention dual infection with human immunodeficiency virus-1 and human immunodeficiency virus-2 (finding)
